Ranking,Sacco,Total Assets 2022 (Kshs. Billions),Total Assets 2023 (Kshs. Billions),Total Deposits 2022 (Kshs. Billions),Total Deposits 2023 (Kshs. Billions),Gross Loans 2022 (Kshs. Billions),Gross Loans 2023 (Kshs. Billions),Total Income 2022 (Kshs. Billions),Total Income 2023 (Kshs. Billions)
1,MWALIMU NATIONAL,64.06,66.43,47.29,49.33,43.84,45.78,7.74,8.38
2,STIMA DT,53.78,59.15,39.43,43.13,45.07,49.4,7.4,8.95
3,KENYA NATIONAL POLICE DT,48.98,54.24,28.89,31.73,41.58,46.75,7.94,8.86
4,HARAMBEE,37.01,38.57,23.7,24.62,26.27,27.69,5.46,5.46
5,TOWER,19.57,23.23,14.5,17.34,15.23,15.28,2.86,3.49
6,AFYA,20.94,22.79,15.63,17.41,13.21,12.87,2.79,2.62
7,UNAITAS,20.4,22.7,11.02,12.57,16.36,18.04,3.27,3.54
8,IMARISHA,19.82,21.78,14.08,15.88,15.73,17.75,3.32,3.74
9,UNITED NATIONS DT,16.7,18.21,12.56,13.69,10.27,11.39,1.94,2.33
10,UKULIMA,14.66,15.18,10.25,10.78,12.09,12.43,1.91,2.02
11,HAZINA,12.76,14.76,9.66,9.66,8.96,10.02,1.51,1.77
12,GUSII MWALIMU,12.85,14.3,9.2,10.11,11.26,13.01,2.1,2.32
13,INVEST AND GROW,12.96,14.06,7.04,7.74,9.52,10.82,1.76,1.88
14,MENTOR,11.77,13.47,8.91,9.01,10.42,10.68,1.54,1.83
15,IMARIKA,11.67,13.11,7.48,8.32,10.15,10.97,1.8,1.96
16,BANDARI DT,12.01,12.68,7.54,8.21,7.93,8.54,1.57,1.9
17,TRANSNATION,9.7,12.02,7.02,8.08,9.08,11.4,1.74,2.09
18,SAFARICOM,11.01,11.72,7.36,8.41,8.31,9.44,1.45,1.64
19,BORESHA,12.44,11.25,6.89,8.38,8.38,9.42,1.42,1.63
20,WINAS,9.18,11.28,5.77,6.47,6.21,7.47,1.74,1.91
21,NEWFORTIS,11.21,10.67,5.47,6.76,7.46,7.38,1.38,1.45
22,KIMISITU,9.54,11.07,7.34,8.39,7.26,9.01,1.16,1.49
